ensembl_gene_id	external_gene_name	entrezgene_id
100	ENSDARG00000005894	SLC7A9	567117
101	ENSDARG00000005897	dera	450077
102	ENSDARG00000005993	prc1b	393203
103	ENSDARG00000006011	klhl42	567545
104	ENSDARG00000006029	lta4h	406575
105	ENSDARG00000006038	aebp2	406815
106	ENSDARG00000006060		566781
107	ENSDARG00000006215	akr1b1.1	415138
108	ENSDARG00000006283	waslb	394034
109	ENSDARG00000006300	psmd9	436709
110	ENSDARG00000006396	nrcama	556537
111	ENSDARG00000006409	mapk12b	557810
112	ENSDARG00000006474	saxo2	641580
113	ENSDARG00000006487	anp32a	335907
114	ENSDARG00000006494	asb7	405798
115	ENSDARG00000006501	cyp2x10.2	322545
116	ENSDARG00000006545	rgp1	436881
117	ENSDARG00000006567	dus4l	445096
118	ENSDARG00000006747	tmem178bb	436669
119	ENSDARG00000006754	mllt3	550517
120	ENSDARG00000006766	snd1	324404
121	ENSDARG00000006832	GALNT9	797549
122	ENSDARG00000006878	phf21aa	497383
123	ENSDARG00000006889	mpped2a	550430
124	ENSDARG00000007018	ms4a17a.6	100009643
125	ENSDARG00000007141	psmc3	321947
126	ENSDARG00000007175	recql	566018
127	ENSDARG00000007199		NA
128	ENSDARG00000007244	acp2	503759
129	ENSDARG00000007277	myf5	58097
130	ENSDARG00000007315	tmpoa	352907
131	ENSDARG00000007366	amdhd1	402826
132	ENSDARG00000007370	dysf	560924
133	ENSDARG00000007371	slc26a3.1	563962
134	ENSDARG00000007385	cct7	192324
135	ENSDARG00000007398	LRRK1	100332050
136	ENSDARG00000007405	strap	393274
137	ENSDARG00000007413	arid2	566352
138	ENSDARG00000007523	KMT2E	325395
139	ENSDARG00000007526	ndufs2	553672
140	ENSDARG00000007639	cnot4b	394144
141	ENSDARG00000007657	ccnh	541325
142	ENSDARG00000007709	ADAMTS8	569618
143	ENSDARG00000007723	efnb1	114377
144	ENSDARG00000007745	uqcrfs1	406359
145	ENSDARG00000007760	spg21	406704
146	ENSDARG00000007764	klhdc10	393231
147	ENSDARG00000007769	sult5a1	767718
148	ENSDARG00000007791	ppp2r1ba	406685
149	ENSDARG00000007989	nedd8	368667
150	ENSDARG00000008022	kif18a	393209
151	ENSDARG00000008100	slc7a10a	567420
152	ENSDARG00000008153	serinc5	406835
153	ENSDARG00000008188	sf1	572785
154	ENSDARG00000008224	vps35	561697
155	ENSDARG00000008235	cog5	567886
156	ENSDARG00000008278	rcor2	402934
157	ENSDARG00000008322	ambra1a	100332642
158	ENSDARG00000008380	brd7	406675
159	ENSDARG00000008398	cacna1c	170581
160	ENSDARG00000008439	atxn10	100034473
161	ENSDARG00000008454	cpeb1b	30702
162	ENSDARG00000008485	lrp3	100170796
163	ENSDARG00000008491	si:ch211-107o10.3	407663
164	ENSDARG00000008592	mtmr8	393365
165	ENSDARG00000008660	coro1b	560168
166	ENSDARG00000008720	lmo3	553774
167	ENSDARG00000008811	cmtm3	445074
168	ENSDARG00000008852	elp4	550331
169	ENSDARG00000008867	rap1b	321107
170	ENSDARG00000008986	e2f7	567941
171	ENSDARG00000009170	ctr9	100036549
172	ENSDARG00000009252	napepld	568061
173	ENSDARG00000009262	FAR2	100034578
174	ENSDARG00000009280	smyd1a	321245
175	ENSDARG00000009281	dnm1b	100333543
176	ENSDARG00000009336	aif1l	321033
177	ENSDARG00000009346	caprin1a	445090
178	ENSDARG00000009418	mef2cb	798771
179	ENSDARG00000009466	rgs9bp	562687
180	ENSDARG00000009607	ccnc	335429
181	ENSDARG00000009610		570516
182	ENSDARG00000009657	fgfr1op2	335511
183	ENSDARG00000009702		560440
184	ENSDARG00000009764	srek1	445219
185	ENSDARG00000009939	micu2	548335
186	ENSDARG00000009950	edf1	793036
187	ENSDARG00000010021	grpel1	559037
188	ENSDARG00000010042	dnm1a	100307098
189	ENSDARG00000010250	nqo1	322506
190	ENSDARG00000010332	zgc:56231	406257
191	ENSDARG00000010423	npsn	404039
192	ENSDARG00000010454	guca1a	140430
193	ENSDARG00000010586	tex9	553441
194	ENSDARG00000010591	foxn4	30315
195	ENSDARG00000010596	slc7a6os	492472
196	ENSDARG00000010601	mtmr10	555239
197	ENSDARG00000010658	insig1	334189
198	ENSDARG00000010756	nod2	777696
199	ENSDARG00000010784	ppp1r12a	445393
200	ENSDARG00000010841	fshb	402919
201	ENSDARG00000010878	cdkn1ca	399483
202	ENSDARG00000010925	HTRA3	573378
203	ENSDARG00000010940		NA
204	ENSDARG00000011088		558401
205	ENSDARG00000011170	ndrg2	494050
206	ENSDARG00000011201	rplp2l	558312
207	ENSDARG00000011246	krr1	724049
208	ENSDARG00000011259	trpm1a	791196
209	ENSDARG00000011301	nae1	573336
210	ENSDARG00000011410	AADAT	557979
211	ENSDARG00000011449	fes	566739
212	ENSDARG00000011462	otub1b	436773
213	ENSDARG00000011537	ugt2a5	767705
214	ENSDARG00000011545	arrb2b	394099
215	ENSDARG00000011555	spag7	394100
216	ENSDARG00000011582	sox5	567413
217	ENSDARG00000011605	dennd6b	337436
218	ENSDARG00000011615	mybpc3	556489
219	ENSDARG00000011661	twf1b	432375
220	ENSDARG00000011764	ints13	334292
221	ENSDARG00000011769	cpm	550253
222	ENSDARG00000011851	map2k5	100007679
223	ENSDARG00000011897		100333057
224	ENSDARG00000011929	plp1b	368234
225	ENSDARG00000011961	csrp2	393871
226	ENSDARG00000012002	slc38a7	445254
227	ENSDARG00000012030	dnaaf1	386722
228	ENSDARG00000012066	dcn	64698
229	ENSDARG00000012196	FER	565199
230	ENSDARG00000012199	gpt2	799963
231	ENSDARG00000012219	dpf2	474324
232	ENSDARG00000012306	syt13	550345
233	ENSDARG00000012311	myoz2a	393873
234	ENSDARG00000012435	spic	447882
235	ENSDARG00000012446	helz2c	552926
236	ENSDARG00000012495	mphosph10	323426
237	ENSDARG00000012499	per1b	406204
238	ENSDARG00000012504	rlbp1a	393678
239	ENSDARG00000012640	cideb	553467
240	ENSDARG00000012649	SMAD4	794669
241	ENSDARG00000012684	atp2b1a	378746
242	ENSDARG00000012729	hcls1	563056
243	ENSDARG00000012776	smarca1	559803
244	ENSDARG00000012818	csnk2a2a	30488
245	ENSDARG00000012827	mettl3	100004398
246	ENSDARG00000012840	alg9	393598
247	ENSDARG00000012860	tmprss4b	327651
248	ENSDARG00000012887	znf143a	492800
249	ENSDARG00000012944	myhz2	246275
250	ENSDARG00000013000	ppfia2	566597
251	ENSDARG00000013031	mta2	326078
252	ENSDARG00000013050	ABCC12	568482
253	ENSDARG00000013058	ascc2	393414
254	ENSDARG00000013250	tars1	449661
255	ENSDARG00000013317	pygmb	393444
256	ENSDARG00000013329	ttc5	550347
257	ENSDARG00000013360	sh3gl3a	571626
258	ENSDARG00000013414	lin7a	393682
259	ENSDARG00000013476	arhgef39	492469
260	ENSDARG00000013500	ABCA2	100006090
261	ENSDARG00000013526	SVEP1	567357
262	ENSDARG00000013596	BRD1	569574
263	ENSDARG00000013789	sim1b	566656
264	ENSDARG00000013842	tbc1d19	393463
265	ENSDARG00000013860	ptpmt1	567019
266	ENSDARG00000013961	slc31a1	403028
267	ENSDARG00000014024	ms4a17a.4	100124612
268	ENSDARG00000014148	med22	415234
269	ENSDARG00000014309	spaw	338101
270	ENSDARG00000014361	tmbim4	406412
271	ENSDARG00000014378	SLC12A4	562826
272	ENSDARG00000014395	selenoo2	558542
273	ENSDARG00000014439	DGKZ	553380
274	ENSDARG00000014463	usf1l	406475
275	ENSDARG00000014572	chpt1	322605
276	ENSDARG00000014577	rhpn2	321330
277	ENSDARG00000014657	casp23	563034
278	ENSDARG00000014690	rps4x	449547
279	ENSDARG00000014722	her1	30287
280	ENSDARG00000014804	cacna2d1a	561434
281	ENSDARG00000014910	panx1b	567417
282	ENSDARG00000014941	tprkb	492501
283	ENSDARG00000015053	grip1	558006
284	ENSDARG00000015161	C10H17orf49	436695
285	ENSDARG00000015222	cbll1	394041
286	ENSDARG00000015263	adma	556502
287	ENSDARG00000015278	PLXNC1	562273
288	ENSDARG00000015292	ube2g1a	334133
289	ENSDARG00000015314	zc4h2	323487
290	ENSDARG00000015349	mfge8a	541486
291	ENSDARG00000015385	ndufs3	550451
292	ENSDARG00000015392	dhx15	321931
293	ENSDARG00000015524	prps1a	140620
294	ENSDARG00000015536	sox6	567154
295	ENSDARG00000015551	fth1a	58108
296	ENSDARG00000015607		NA
297	ENSDARG00000015623	ADA2	559295
298	ENSDARG00000015780	ankrd46b	402888
299	ENSDARG00000015793	creb3l1	338317
300	ENSDARG00000015805	CGNL1	553350
301	ENSDARG00000015824	lemd3	558474
302	ENSDARG00000015921	pwp1	393262
303	ENSDARG00000015931		559029
304	ENSDARG00000015966	yaf2	692296
305	ENSDARG00000015985	abcc9	561160
306	ENSDARG00000016010	nup107	562350
307	ENSDARG00000016141	SLC6A2	565776
308	ENSDARG00000016231	bcap29	554151
309	ENSDARG00000016260	fxr2	393180
310	ENSDARG00000016307	mrpl46	436791
311	ENSDARG00000016363	her8a	323656
312	ENSDARG00000016519	ctdnep1a	492343
313	ENSDARG00000016526	gata3	30458
314	ENSDARG00000016538	ovch1	393114
315	ENSDARG00000016613	mcat	564111
316	ENSDARG00000016687	acadvl	573723
317	ENSDARG00000016691	cd9b	406737
318	ENSDARG00000016695	p2rx1	387296
319	ENSDARG00000016739	LRRC4C	564462
320	ENSDARG00000016749	slco1c1	562772
321	ENSDARG00000016774	PLEKHO2	100334463
322	ENSDARG00000016815	dnai7	566485
323	ENSDARG00000016886	dnajb9b	554091
324	ENSDARG00000016904	bckdk	282677
325	ENSDARG00000016964	MCUR1	550408
326	ENSDARG00000016968	tmem214	402840
327	ENSDARG00000016979	pmpcb	503532
328	ENSDARG00000017006	DENND5A	799847
329	ENSDARG00000017010	scamp2l	334500
330	ENSDARG00000017014	ywhae2	503763
331	ENSDARG00000017078	mespaa	58069
332	ENSDARG00000017086	asb12a	322927
333	ENSDARG00000017108	KCNA1	571208
334	ENSDARG00000017115	kctd10	406787
335	ENSDARG00000017163	sinup	393399
336	ENSDARG00000017242	garem	393138
337	ENSDARG00000017315	larp7	334956
338	ENSDARG00000017320	f11r.1	323696
339	ENSDARG00000017355	rsph9	558005
340	ENSDARG00000017366	prdm4	100000537
341	ENSDARG00000017386	sobpb	100006088
342	ENSDARG00000017431	mindy2	570359
343	ENSDARG00000017454	nup50	322969
344	ENSDARG00000017474	zgc:110699	325371
345	ENSDARG00000017504		562403
346	ENSDARG00000017571	mccc2	405863
347	ENSDARG00000017661	braf	403065
348	ENSDARG00000017676	mmp2	337179
349	ENSDARG00000017739	ak5l	548336
350	ENSDARG00000017757	pik3cg	406598
351	ENSDARG00000017794	sdr16c5b	406799
352	ENSDARG00000017841	cand1	406806
353	ENSDARG00000017874	dnajc3b	58154
354	ENSDARG00000017901	tln2a	556842
355	ENSDARG00000017917	her7	58132
356	ENSDARG00000017927	gjd6	100005880
357	ENSDARG00000018049	sf3b2	570994
358	ENSDARG00000018105	casq1b	767757
359	ENSDARG00000018111	kdm7aa	321248
360	ENSDARG00000018149	slc38a4	449771
361	ENSDARG00000018228	htr2cl1	100000981
362	ENSDARG00000018241	mfap1	393992
363	ENSDARG00000018312	rell1	799556
364	ENSDARG00000018329	gc2	140425
365	ENSDARG00000018351	hpda	394142
366	ENSDARG00000018494	smn1	30432
367	ENSDARG00000018508	zdhhc8b	352941
368	ENSDARG00000018618	cpsf6	327069
369	ENSDARG00000018643	igf2a	30710
370	ENSDARG00000018688	elk3	557074
371	ENSDARG00000018744	prl2	799612
372	ENSDARG00000018814	esrp2	572992
373	ENSDARG00000018817	bdnf	58118
374	ENSDARG00000018820	FLNC	570288
375	ENSDARG00000018882	jak2b	30298
376	ENSDARG00000018958	nrarpb	353225
377	ENSDARG00000018985	castor2	327294
378	ENSDARG00000019098	cd82a	324098
379	ENSDARG00000019207	gbgt1l5	563897
380	ENSDARG00000019230	rpl7a	337010
381	ENSDARG00000019235	sema3aa	30266
382	ENSDARG00000019294	cbln8	561171
383	ENSDARG00000019328	plxna4	325938
384	ENSDARG00000019396	rergla	436767
385	ENSDARG00000019406	C7H11orf68	393420
386	ENSDARG00000019420	ETNK1	565971
387	ENSDARG00000019549	CDS1	100002015
388	ENSDARG00000019595	senp8	565126
389	ENSDARG00000019644	ldhba	30497
390	ENSDARG00000019732	mtch2	30655
391	ENSDARG00000019743	dctn1a	407638
392	ENSDARG00000019791	prmt3	550348
393	ENSDARG00000019861	fgl2a	565637
394	ENSDARG00000019969	smarcd3b	562140
395	ENSDARG00000020015	mrps33	432383
396	ENSDARG00000020053	nkd1	751108
397	ENSDARG00000020086	NUAK1	561563
398	ENSDARG00000020101	psmc2	393941
399	ENSDARG00000020136	ptges	544666
400	ENSDARG00000020143	pah	378962
401	ENSDARG00000020178	nova1	555590
402	ENSDARG00000020204	nf2a	561184
403	ENSDARG00000020212	slc1a1	436939
404	ENSDARG00000020252	BTBD10	557247
405	ENSDARG00000020377	eif4g2a	323453
406	ENSDARG00000020397	snx15	393352
407	ENSDARG00000020473	hddc3	550533
408	ENSDARG00000020749	caprin2	407729
409	ENSDARG00000020812		NA
410	ENSDARG00000020871	PTPRZ1	553019
411	ENSDARG00000020924	myo1ca	567536
412	ENSDARG00000020952	naaladl1	100000223
413	ENSDARG00000020953	dnajb6b	393275
414	ENSDARG00000021135	dhrs4	393539
415	ENSDARG00000021239	apaf1	58131
416	ENSDARG00000021336	pax4	561564
417	ENSDARG00000021405	CHD3	568230
418	ENSDARG00000021442	cdh11	30461
419	ENSDARG00000021579	orc5	406479
420	ENSDARG00000021590	magi2a	564112
421	ENSDARG00000021595	lhfpl3	445050
422	ENSDARG00000021647	gnai1	393946
423	ENSDARG00000021859	erap1b	393175
424	ENSDARG00000021948	tncb	30037
425	ENSDARG00000022020		100150998
426	ENSDARG00000022085		558083
427	ENSDARG00000022129	rbm4.3	406277
428	ENSDARG00000022165	mgst1.2	431762
429	ENSDARG00000022187	usp6nl	561983
430	ENSDARG00000022203	GTF2IRD1	81597
431	ENSDARG00000022315	atp6v1g1	335025
432	ENSDARG00000022340	ufc1	445256
433	ENSDARG00000022424	slc26a5	322846
434	ENSDARG00000022466	CLCN5	557584
435	ENSDARG00000022532	chrnb1l	100005295
436	ENSDARG00000022550	gxylt1b	556315
437	ENSDARG00000022795	golt1ba	100034417
438	ENSDARG00000022858		563427
439	ENSDARG00000023026	pkp2	568060
440	ENSDARG00000023036		100034534
441	ENSDARG00000023267	atad1a	368672
442	ENSDARG00000023479		562438
443	ENSDARG00000023645	kyat1	791592
444	ENSDARG00000023766	gnsa	566506
445	ENSDARG00000023868	si:dkey-172h23.2	393772
446	ENSDARG00000023868	si:dkey-172h23.2	108190639
447	ENSDARG00000023958	rnf181	393276
448	ENSDARG00000024092	lmbr1	557300
449	ENSDARG00000024109	naa40	550325
450	ENSDARG00000024116	vamp8	327007
451	ENSDARG00000024211	ifng1	405790
452	ENSDARG00000024299	c1qtnf4	550397
453	ENSDARG00000024306	zbed4	100000808
454	ENSDARG00000024324	arhgap1	550478
455	ENSDARG00000024465	mrps18a	558080
456	ENSDARG00000024503	c6ast3	541399
457	ENSDARG00000024598	homezb	566226
458	ENSDARG00000024651	snrpa1	492511
459	ENSDARG00000024654	pgm3	474321
460	ENSDARG00000024874	dock4b	654774
461	ENSDARG00000024877	ptgr1.1	494108
462	ENSDARG00000024894	tbx5a	30071
463	ENSDARG00000025046		NA
464	ENSDARG00000025073	rpl18a	394035
465	ENSDARG00000025391	pfdn2	323012
466	ENSDARG00000025505	si:ch73-335d12.2	555932
467	ENSDARG00000025576	mkln1	325217
468	ENSDARG00000025601		100006191
469	ENSDARG00000025693	tmem9b	325931
470	ENSDARG00000025797	abhd2a	393888
471	ENSDARG00000025820	chek2	336998
472	ENSDARG00000025824	dmtf1	436938
473	ENSDARG00000025859	lmf2b	407708
474	ENSDARG00000026052	ccdc3a	560952
475	ENSDARG00000026376	ACO1	568448
476	ENSDARG00000026505		557131
477	ENSDARG00000026599	en2a	30243
478	ENSDARG00000026726	anxa1a	334724
479	ENSDARG00000026839	med21	406732
480	ENSDARG00000026842	acin1b	327495
481	ENSDARG00000026855	CACNA2D4	568225
482	ENSDARG00000026862	aktip	378716
483	ENSDARG00000027109	zfr	321659
484	ENSDARG00000027141	ube2l3b	321943
485	ENSDARG00000027222	adgrg1	324948
486	ENSDARG00000027249	btg1	114432
487	ENSDARG00000027316	tcp11l2	406293
488	ENSDARG00000027322	lin7c	447934
489	ENSDARG00000027394		559304
490	ENSDARG00000027397	vangl2	245949
491	ENSDARG00000027424	slc25a3a	393688
492	ENSDARG00000027552	mapk1	360144
493	ENSDARG00000027586	TOP3B	793414
494	ENSDARG00000027799	ucmaa	100037325
495	ENSDARG00000027903	ADAMTSL3	100534944
496	ENSDARG00000027907	si:ch211-216p19.6	100006636
497	ENSDARG00000028058	traf6	554561
498	ENSDARG00000028192	cradd	450046
499	ENSDARG00000028333	nitr9	449533
500	ENSDARG00000028333	nitr9	641579
501	ENSDARG00000028346	tesca	406633
502	ENSDARG00000028386	htatip2	64605
503	ENSDARG00000028401	rhogc	324681
504	ENSDARG00000028542	si:ch211-114c12.2	336578
505	ENSDARG00000028659		NA
506	ENSDARG00000028688	exosc2	550234
507	ENSDARG00000028815	harbi2	560936
508	ENSDARG00000028816	tmed3	336391
509	ENSDARG00000028912		565947
510	ENSDARG00000029018	cdkn1ba	402862
511	ENSDARG00000029063	clpxa	447842
512	ENSDARG00000029071	creld2	393495
513	ENSDARG00000029105		562700
514	ENSDARG00000029170		565799
515	ENSDARG00000029204	TYRP1	100333145
516	ENSDARG00000029242	fbxo3	553731
517	ENSDARG00000029500	rpl34	394097
518	ENSDARG00000029524	impdh1b	338306
519	ENSDARG00000029830	myf6	404208
520	ENSDARG00000029838		100006263
521	ENSDARG00000029944	parpbp	678635
522	ENSDARG00000029995	tnni2b.2	445029
523	ENSDARG00000030097	sdcbp	407719
524	ENSDARG00000030153	gnptab	553365
525	ENSDARG00000030161	ppp1r14bb	100000577
526	ENSDARG00000030173	TRAF2	564295
527	ENSDARG00000030176	zgc:92429	445063
528	ENSDARG00000030241	vbp1	553651
529	ENSDARG00000030267	gtf3aa	445389
530	ENSDARG00000030307	hspa12b	735291
531	ENSDARG00000030311	tmc2b	567304
532	ENSDARG00000030347	mespba	58070
533	ENSDARG00000030463	tppp3	393825
534	ENSDARG00000030598	NAMPT	100330160
535	ENSDARG00000030614	syt1a	436736
536	ENSDARG00000030694	atp6v1e1b	192335
537	ENSDARG00000031150	gba3	553722
538	ENSDARG00000031228	podxl	563365
539	ENSDARG00000031243	snai3	567724
540	ENSDARG00000031346	rbm17	393889
541	ENSDARG00000031693		553438
542	ENSDARG00000031737	pthlha	554221
543	ENSDARG00000031777	pparaa	563298
544	ENSDARG00000031796	ache	114549
545	ENSDARG00000031930		NA
546	ENSDARG00000031956	tmem63a	557924
547	ENSDARG00000032218	ACSS3	566019
548	ENSDARG00000032242	tnnt2c	353248
549	ENSDARG00000032319	mest	30242
550	ENSDARG00000032389	tspan12	394127
551	ENSDARG00000032405	ckap4	406549
552	ENSDARG00000032458	MARK2	100005996
553	ENSDARG00000032618	mgst1.1	449784
554	ENSDARG00000032627	scyl2	557149
555	ENSDARG00000032631	ltb4r	100329657
556	ENSDARG00000032639	cd36	436636
557	ENSDARG00000032653	sinhcaf	563991
558	ENSDARG00000032765	net1	493607
559	ENSDARG00000032799	kcnd2	570188
560	ENSDARG00000032862	ugt5g1	570913
561	ENSDARG00000032919	chchd3a	407730
562	ENSDARG00000032933	dtx2	568626
563	ENSDARG00000032976	cmlc1	64671
564	ENSDARG00000032997	rnf185	406310
565	ENSDARG00000033042	ptprja	559679
566	ENSDARG00000033099	kif7	544651
567	ENSDARG00000033104	tmc2a	571240
568	ENSDARG00000033179	tmem243b	405855
569	ENSDARG00000033296	gpr37b	568430
570	ENSDARG00000033413	acot18	556673
571	ENSDARG00000033418	gpatch1	448925
572	ENSDARG00000033443	mdm2	30637
573	ENSDARG00000033466	tagln2	259183
574	ENSDARG00000033498	rorb	567943
575	ENSDARG00000033614	rasgef1ba	327572
576	ENSDARG00000033683	tpma	30324
577	ENSDARG00000033735	ncf1	378966
578	ENSDARG00000033757	ncaph2	562678
579	ENSDARG00000033861	sepsecs	393123
580	ENSDARG00000033957	trmt44	450066
581	ENSDARG00000033963	nitr1i	60644
582	ENSDARG00000034043	irx5a	573346
583	ENSDARG00000034095		108183670
584	ENSDARG00000034095		101886021
585	ENSDARG00000034138	shisa2a	561042
586	ENSDARG00000034173	prkcq	555521
587	ENSDARG00000034262	PLD2	565743
588	ENSDARG00000034300	SEMA3C	553130
589	ENSDARG00000034307	chrne	445315
590	ENSDARG00000034326	ing3	393911
591	ENSDARG00000034330	si:dkey-88n24.7	555676
592	ENSDARG00000034368	hexb	323613
593	ENSDARG00000034375	chst11	404232
594	ENSDARG00000034420	irx6a	474317
595	ENSDARG00000034424	atp1b2b	114457
596	ENSDARG00000034434	igf1rb	245702
597	ENSDARG00000034504	lmo1	280646
598	ENSDARG00000034700	vegfab	558154
599	ENSDARG00000034717		563690
600	ENSDARG00000034823	copg2	30187
601	ENSDARG00000034855	ccnb3	767751
602	ENSDARG00000035018	thy1	336617
603	ENSDARG00000035028	lpcat4	327566
604	ENSDARG00000035122	camsap1b	561094
605	ENSDARG00000035131	surf4l	436743
606	ENSDARG00000035132		557360
607	ENSDARG00000035146	polr2j	554099
608	ENSDARG00000035147	lrwd1	327124
609	ENSDARG00000035148	orai2	555612
610	ENSDARG00000035149	pex12	393174
611	ENSDARG00000035187	ABL1	100000720
612	ENSDARG00000035282	emc6	337220
613	ENSDARG00000035285	ncor1	393246
614	ENSDARG00000035329	capns1a	550598
615	ENSDARG00000035330	taf1	555452
616	ENSDARG00000035350	ins	30262
617	ENSDARG00000035427	surf6	394040
618	ENSDARG00000035438	myhc4	334274
619	ENSDARG00000035452	camkk1a	541526
620	ENSDARG00000035470	sh3glb2b	394094
621	ENSDARG00000035471		795920
622	ENSDARG00000035507	DDX31	325248
623	ENSDARG00000035508	barhl1a	550407
624	ENSDARG00000035535	RASA1	100002155
625	ENSDARG00000035540	BRWD3	553209
626	ENSDARG00000035544	etnppl	393421
627	ENSDARG00000035549	uprt	404623
628	ENSDARG00000035550	CFAP73	100001777
629	ENSDARG00000035551	IQCD	553445
630	ENSDARG00000035552	agtr2	503772
631	ENSDARG00000035557	gabarapa	326974
632	ENSDARG00000035558	gps2	393948
633	ENSDARG00000035559	tp53	30590
634	ENSDARG00000035560	capga	565410
635	ENSDARG00000035569	cyp1d1	492344
636	ENSDARG00000035605	tchp	678595
637	ENSDARG00000035606		557008
638	ENSDARG00000035618	coq5	447802
639	ENSDARG00000035622	xbp1	140614
640	ENSDARG00000035629	parvab	567123
641	ENSDARG00000035630	ypel1	554488
642	ENSDARG00000035631	sdf2l1	445275
643	ENSDARG00000035633		563835
644	ENSDARG00000035718	cbln6	793037
645	ENSDARG00000035732	bmal1b	352935
646	ENSDARG00000035735	gsx1	449875
647	ENSDARG00000035741	slc25a11	415189
648	ENSDARG00000035751	ipo7	321739
649	ENSDARG00000035781	ctdnep1b	492799
650	ENSDARG00000035796		567602
651	ENSDARG00000035819	sirt3	558775
652	ENSDARG00000035820	drd4b	503565
653	ENSDARG00000035852	cart3	557301
654	ENSDARG00000035853	cdkn2aip	450065
655	ENSDARG00000035872	hsd17b12b	322626
